title,total_streams_mio,days_in_charts,days_in_top10,url,track_id,Unnamed: 0,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Praise The Lord (Da Shine) (feat. Skepta),277.06,6236,10,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,7ycWLEP1GsNjVvcjawXz3z,51753,A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),82,205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop
Happy Now,276.85,9852,400,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,14sOS5L36385FJ3OL8hew4,30676,Kygo;Sandro Cavazza,Happy Now,Happy Now,69,211362,False,0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999,4,edm
Close To Me (with Diplo) (feat. Swae Lee),275.75,7246,88,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,5JEx7HbmvHQQswJCsoo9rA,30906,Ellie Goulding;Diplo;Swae Lee,Close To Me (feat. Swae Lee),Close To Me (with Diplo) (feat. Swae Lee),65,182623,True,0.575,0.758,1,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,144.107,4,edm
No Promises (feat. Demi Lovato),273.03,8958,24,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,1louJpMmzEicAn7lzDalPW,30566,Cheat Codes;Demi Lovato,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),67,223503,False,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,4,edm
Beautiful (feat. Camila Cabello),272.22,6519,384,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,20901,Bazzi;Camila Cabello,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),74,180000,False,0.638,0.717,2,-4.722,1,0.0337,0.346,0.0,0.105,0.249,100.027,4,dance
Paradise (feat. Dermot Kennedy),267.88,6197,241,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr,6ft4hAq6yde8jPZY2i5zLr,30514,MEDUZA;Dermot Kennedy,Paradise,Paradise (feat. Dermot Kennedy),79,167903,False,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4,edm
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),261.71,7097,766,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,7nKBxz47S9SD79N086fuhn,67909,Enrique Iglesias;Descemer Bueno;Zion & Lennox,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),70,207680,False,0.688,0.822,0,-3.304,1,0.0537,0.0642,0.0,0.241,0.66,91.011,4,latin
Go Crazy,259.56,4020,148,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,1IIKrJVP1C9N7iPtG6eOsK,20701,Chris Brown;Young Thug,Slime & B,Go Crazy,78,176960,True,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,4,dance
Falling Down - Bonus Track,258.34,4562,399,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,4jvjzW7Hm0yK4LvvE0Paz9,33006,Lil Peep;XXXTENTACION,"Come Over When You're Sober, Pt. 2",Falling Down - Bonus Track,81,196400,True,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4,emo
Downtown,258.28,5350,759,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D,3Ga6eKrUFf12ouh9Yw3v2D,37351,Anitta;J Balvin,Downtown,Downtown,72,193456,False,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,4,funk
Africa,256.18,11327,0,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2374M0fQpWi3dLnB54qaLX,91903,TOTO,Toto IV,Africa,83,295893,False,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,rock
There for You,256.02,7602,513,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,6jA8HL9i4QGzsj6fjoxp8Y,30203,Martin Garrix;Troye Sivan,There for You,There for You,69,221904,False,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,4,edm
Don't Stop Believin',255.69,8916,0,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,4bHsxqR3GMrXTxEPLuK5ue,47051,Journey,Escape (Bonus Track Version),Don't Stop Believin',83,250986,False,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,4,hard-rock
La Santa,252.5,5182,189,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,69vlMrzHwATKzupwNcUPyK,68707,Bad Bunny;Daddy Yankee,YHLQMDLG,La Santa,84,206420,True,0.744,0.868,1,-4.524,1,0.047,0.0326,0.0,0.0822,0.586,93.037,4,latino
No Limit,250.96,3819,108,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,2DQ1ITjI0YoLFzuADN1ZBW,56251,G-Eazy;A$AP Rocky;Cardi B,The Beautiful & Damned,No Limit,71,245386,True,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,4,indie-pop
Arms Around You (feat. Maluma & Swae Lee),250.73,4589,320,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,33000,XXXTENTACION;Lil Pump;Swae Lee;Maluma,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),70,198902,True,0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,4,emo
Your Love (9PM),249.24,5110,164,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx,5YaskwnGDZFDRipaqzbwQx,39156,ATB;Topic;A7S,Your Love (9PM),Your Love (9PM),79,150052,False,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,german
wish you were gay,246.65,4698,215,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,3Fj47GNK2kUF0uaEDgXLaD,31603,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",wish you were gay,77,221543,False,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,4,electro
